Target_Feature,Output_Length,MSE,MAE,RMSE
ens160_aqi,1,0.0007680778508074582,0.018151460215449333,0.02771421748502848
ens160_aqi,6,0.006826734635978937,0.07595166563987732,0.08262405603684037
ens160_aqi,12,0.006568265147507191,0.07263276726007462,0.08104483418150223
ens160_tvoc,1,0.0007611400214955211,0.006267160642892122,0.027588766219161034
ens160_tvoc,6,0.0014313918072730303,0.013085618615150452,0.03783373900730709
ens160_tvoc,12,0.0014266864163801074,0.016579080373048782,0.03777150270217095
scd41_temperature,1,0.008740924298763275,0.08229003846645355,0.09349291041979213
scd41_temperature,6,0.010561222210526466,0.08540007472038269,0.10276780726728807
scd41_temperature,12,0.010645562782883644,0.07722073793411255,0.10317733657583744
scd41_humidity,1,0.011081148870289326,0.09797492623329163,0.10526703600980378
scd41_humidity,6,0.011571934446692467,0.08959923684597015,0.1075729261789065
scd41_humidity,12,0.006225716322660446,0.06464522331953049,0.07890320857012373
scd41_co2,1,0.0007068096892908216,0.017404476180672646,0.026585892674326764
scd41_co2,6,0.0033243095967918634,0.044749826192855835,0.05765682610751188
scd41_co2,12,0.0018670962890610099,0.02326360158622265,0.04320990961644111
